stat_id,claim,number,unit,geography,date_or_period,publisher,source_url,quote_or_context,section_tag,verification
MCS-012,The highest 10 percent of receptionists earned more than $24.01 per hour.,24.01,USD/hour,US,May 2025,U.S. Bureau of Labor Statistics (OOH),https://www.bls.gov/ooh/office-and-administrative-support/receptionists.htm,"The lowest 10 percent earned less than $13.83, and the highest 10 percent earned more than $24.01.",cost_wages,verified
MCS-013,Median hourly wage for receptionists in healthcare and social assistance was $19.00.,19.00,USD/hour,US,May 2025,U.S. Bureau of Labor Statistics (OOH),https://www.bls.gov/ooh/office-and-administrative-support/receptionists.htm,Healthcare and social assistance | 19.00,cost_wages,verified
MCS-014,Median hourly wage for receptionists in personal care services was $16.57.,16.57,USD/hour,US,May 2025,U.S. Bureau of Labor Statistics (OOH),https://www.bls.gov/ooh/office-and-administrative-support/receptionists.htm,Personal care services | 16.57,cost_wages,verified
MCS-015,"Median annual wage for all U.S. occupations was $50,980 in May 2025.",50980,USD/year,US,May 2025,U.S. Bureau of Labor Statistics (OOH),https://www.bls.gov/ooh/office-and-administrative-support/receptionists.htm,"In May 2025, the median annual wage for all workers was $50,980.",cost_wages,verified
MCS-016,"OEWS estimated 1,003,820 receptionists and information clerks nationally in May 2023.",1003820,jobs,US,May 2023,U.S. Bureau of Labor Statistics (OEWS),https://www.bls.gov/oes/2023/may/oes434171.htm,"Employment (1) | 1,003,820 | Mean hourly wage $17.59 | Mean annual wage $36,590",receptionist_labor,verified
MCS-017,"National mean annual wage for receptionists was $36,590 in May 2023.",36590,USD/year,US,May 2023,U.S. Bureau of Labor Statistics (OEWS),https://www.bls.gov/oes/2023/may/oes434171.htm,"Mean annual wage (2) | $ 36,590",cost_wages,verified
MCS-018,"National median annual wage for receptionists was $35,840 in May 2023.",35840,USD/year,US,May 2023,U.S. Bureau of Labor Statistics (OEWS),https://www.bls.gov/oes/2023/may/oes434171.htm,"50%(Median) | Annual Wage (2) | $ 35,840",cost_wages,verified
MCS-019,"Arkansas employed 13,020 receptionists and information clerks in May 2023.",13020,jobs,AR,May 2023,U.S. Bureau of Labor Statistics (OEWS),https://www.bls.gov/oes/2023/may/oes434171.htm,"Arkansas | 13,020 | 10.24 | 1.55 | $ 15.66 | $ 32,570",arkansas,verified
MCS-020,"Arkansas mean annual wage for receptionists was $32,570 in May 2023.",32570,USD/year,AR,May 2023,U.S. Bureau of Labor Statistics (OEWS),https://www.bls.gov/oes/2023/may/oes434171.htm,"Arkansas | ... | Annual mean wage (2) | $ 32,570",arkansas,verified
MCS-021,Arkansas receptionist location quotient was 1.55 in May 2023.,1.55,location quotient,AR,May 2023,U.S. Bureau of Labor Statistics (OEWS),https://www.bls.gov/oes/2023/may/oes434171.htm,"Arkansas | 13,020 | 10.24 | 1.55 | $ 15.66 | $ 32,570",arkansas,verified
MCS-022,Arkansas had 10.24 receptionist jobs per thousand jobs in May 2023.,10.24,per thousand jobs,AR,May 2023,U.S. Bureau of Labor Statistics (OEWS),https://www.bls.gov/oes/2023/may/oes434171.htm,Arkansas | Employment per thousand jobs | 10.24,arkansas,verified
MCS-023,"Little Rock–North Little Rock–Conway MSA employed 4,590 receptionists in May 2023.",4590,jobs,AR,May 2023,U.S. Bureau of Labor Statistics (OEWS),https://www.bls.gov/oes/2023/may/oes434171.htm,"Little Rock-North Little Rock-Conway, AR | 4,590 | 13.26 | 2.01 | $ 16.19 | $ 33,670",arkansas,verified
MCS-024,"Offices of physicians employed 174,460 receptionists nationally in May 2023.",174460,jobs,US,May 2023,U.S. Bureau of Labor Statistics (OEWS),https://www.bls.gov/oes/2023/may/oes434171.htm,"Offices of Physicians | 174,460 | 6.14 | $ 18.20 | $ 37,860",home_services,verified
MCS-025,"Offices of dentists employed 83,950 receptionists nationally in May 2023.",83950,jobs,US,May 2023,U.S. Bureau of Labor Statistics (OEWS),https://www.bls.gov/oes/2023/may/oes434171.htm,"Offices of Dentists | 83,950 | 8.21 | $ 20.41 | $ 42,460",home_services,verified
MCS-026,"Healthcare and social assistance accounted for 42.0% of receptionist employment in 2025 (398,200 jobs).",42.0,percent,US,2025,U.S. Bureau of Labor Statistics (Employment Projections),https://data.bls.gov/projections/nationalMatrix?ioType=o&queryParams=43-4171,Healthcare and social assistance | 620000 | 398.2 | 42.0,receptionist_labor,verified
MCS-027,"Offices of physicians employed 138,400 receptionists in 2025 (14.6% of the occupation).",138400,jobs,US,2025,U.S. Bureau of Labor Statistics (Employment Projections),https://data.bls.gov/projections/nationalMatrix?ioType=o&queryParams=43-4171,Offices of physicians | 621100 | 138.4 | 14.6,receptionist_labor,verified
MCS-028,"Offices of dentists employed 69,700 receptionists in 2025.",69700,jobs,US,2025,U.S. Bureau of Labor Statistics (Employment Projections),https://data.bls.gov/projections/nationalMatrix?ioType=o&queryParams=43-4171,Offices of dentists | 621200 | 69.7 | 7.4,home_services,verified
MCS-029,"Plumbing, heating, and air-conditioning contractors employed 3,500 receptionists in 2025.",3500,jobs,US,2025,U.S. Bureau of Labor Statistics (Employment Projections),https://data.bls.gov/projections/nationalMatrix?ioType=o&queryParams=43-4171,"Plumbing, heating, and air-conditioning contractors | 238220 | 3.5 | 0.4",home_services,verified
MCS-030,"Professional, scientific, and technical services employed 103,900 receptionists in 2025 (11.0% of occupation).",103900,jobs,US,2025,U.S. Bureau of Labor Statistics (Employment Projections),https://data.bls.gov/projections/nationalMatrix?ioType=o&queryParams=43-4171,"Professional, scientific, and technical services | 540000 | 103.9 | 11.0",receptionist_labor,verified
MCS-031,"There are 36,207,130 small businesses in the U.S.",36207130,firms,US,2022 data / Feb 2026 FAQ,SBA Office of Advocacy,https://advocacy.sba.gov/wp-content/uploads/2026/02/FINAL_FAQsAboutSmallBusiness_2026_012826.pdf,"There are 36,207,130 small businesses in the U.S.",smb_count,verified
MCS-032,Small businesses comprise 99.9% of all U.S. firms.,99.9,percent,US,2022 / Feb 2026 FAQ,SBA Office of Advocacy,https://advocacy.sba.gov/wp-content/uploads/2026/02/FINAL_FAQsAboutSmallBusiness_2026_012826.pdf,99.9% of all firms,smb_count,verified
MCS-033,Small businesses employ 45.9% of private-sector employees (62.3 million workers).,45.9,percent,US,2022 / Feb 2026 FAQ,SBA Office of Advocacy,https://advocacy.sba.gov/wp-content/uploads/2026/02/FINAL_FAQsAboutSmallBusiness_2026_012826.pdf,45.9% of private sector employees (62.3 million workers),smb_count,verified
MCS-034,Small businesses account for 43.5% of U.S. GDP.,43.5,percent,US,Feb 2026 FAQ,SBA Office of Advocacy,https://advocacy.sba.gov/wp-content/uploads/2026/02/FINAL_FAQsAboutSmallBusiness_2026_012826.pdf,43.5% of gross domestic product,smb_count,verified
MCS-035,"82.3% of small businesses (29,811,495 firms) have no employees.",82.3,percent,US,2022 / Feb 2026 FAQ,SBA Office of Advocacy,https://advocacy.sba.gov/wp-content/uploads/2026/02/FINAL_FAQsAboutSmallBusiness_2026_012826.pdf,"82.3 percent, or 29,811,495 firms, have no employees",smb_count,verified
MCS-036,"17.7% of small businesses (6,395,635 firms) have paid employees.",17.7,percent,US,2022 / Feb 2026 FAQ,SBA Office of Advocacy,https://advocacy.sba.gov/wp-content/uploads/2026/02/FINAL_FAQsAboutSmallBusiness_2026_012826.pdf,"17.7 percent, or 6,395,635 firms, have paid employees",smb_count,verified
MCS-037,"Between Sept. 2024 and Aug. 2025, 7.6 percent of businesses used artificial intelligence.",7.6,percent,US,Sept 2024–Aug 2025,SBA Office of Advocacy (citing Census BTOS),https://advocacy.sba.gov/wp-content/uploads/2026/02/FINAL_FAQsAboutSmallBusiness_2026_012826.pdf,"Between Sept. 2024 and Aug. 2025, 7.6 percent of businesses used artificial intelligence (A.I.).",ai_adoption,verified
MCS-038,Businesses with more than 250 employees had 11.4% AI use.,11.4,percent,US,Sept 2024–Aug 2025,SBA Office of Advocacy (citing Census BTOS),https://advocacy.sba.gov/wp-content/uploads/2026/02/FINAL_FAQsAboutSmallBusiness_2026_012826.pdf,those with more than 250 employees—11.4 percent,ai_adoption,verified
MCS-039,Businesses with fewer than five employees had 8.2% AI use.,8.2,percent,US,Sept 2024–Aug 2025,SBA Office of Advocacy (citing Census BTOS),https://advocacy.sba.gov/wp-content/uploads/2026/02/FINAL_FAQsAboutSmallBusiness_2026_012826.pdf,those with fewer than five employees—8.2 percent,ai_adoption,verified
MCS-040,Small businesses accounted for 61 percent of net new job creation since 1995.,61,percent,US,Jan 1995–Dec 2024,SBA Office of Advocacy,https://advocacy.sba.gov/wp-content/uploads/2026/02/FINAL_FAQsAboutSmallBusiness_2026_012826.pdf,Small businesses have accounted for 61 percent of net new job creation since 1995.,smb_count,verified
MCS-041,Federal paperwork collections cost small businesses over $81 billion in 2025.,81,USD billions,US,2025,SBA Office of Advocacy,https://advocacy.sba.gov/wp-content/uploads/2026/02/FINAL_FAQsAboutSmallBusiness_2026_012826.pdf,Federal paperwork collections cost small businesses over $81 billion in 2025.,other,verified
MCS-042,U.S. small businesses numbered 36.2 million and were 99.9% of U.S. businesses.,36.2,million firms,US,2025 profile (2022 Census),SBA Office of Advocacy,https://advocacy.sba.gov/wp-content/uploads/2025/06/United_States_2025-State-Profile.pdf,36.2 million small businesses 99.9 percent of U.S. businesses,smb_count,verified
MCS-043,"Small businesses contributed a net increase of 1.2 million jobs, or 88.9% of net job growth, March 2023–March 2024.",88.9,percent,US,Mar 2023–Mar 2024,SBA Office of Advocacy / BLS BED,https://advocacy.sba.gov/wp-content/uploads/2025/06/United_States_2025-State-Profile.pdf,"Small businesses contributed a net increase of 1.2 million jobs, or 88.9 percent of that total.",smb_count,verified
MCS-044,"Construction small businesses totaled 3,656,782 nationally.",3656782,firms,US,2022,SBA Office of Advocacy,https://advocacy.sba.gov/wp-content/uploads/2025/06/United_States_2025-State-Profile.pdf,"Construction ... All small businesses 3,656,782",home_services,verified
MCS-045,"Health care and social assistance small businesses totaled 2,945,484 nationally.",2945484,firms,US,2022,SBA Office of Advocacy,https://advocacy.sba.gov/wp-content/uploads/2025/06/United_States_2025-State-Profile.pdf,"Health Care and Social Assistance ... 2,945,484",smb_count,verified
MCS-046,"Arkansas has 292,728 small businesses.",292728,firms,AR,2025 profile (2022 Census),SBA Office of Advocacy,https://advocacy.sba.gov/wp-content/uploads/2025/06/Arkansas_2025-State-Profile.pdf,"292,728 small businesses 99.3 percent of Arkansas businesses",arkansas,verified
MCS-047,Arkansas small businesses are 99.3 percent of Arkansas businesses.,99.3,percent,AR,2025 profile,SBA Office of Advocacy,https://advocacy.sba.gov/wp-content/uploads/2025/06/Arkansas_2025-State-Profile.pdf,99.3 percent of Arkansas businesses,arkansas,verified
MCS-048,"Arkansas small businesses employ 501,512 people.",501512,employees,AR,2022 / 2025 profile,SBA Office of Advocacy,https://advocacy.sba.gov/wp-content/uploads/2025/06/Arkansas_2025-State-Profile.pdf,"501,512 small business employees 46.1 percent of Arkansas employees",arkansas,verified
MCS-049,Small businesses account for 46.1 percent of Arkansas employment.,46.1,percent,AR,2022,SBA Office of Advocacy,https://advocacy.sba.gov/wp-content/uploads/2025/06/Arkansas_2025-State-Profile.pdf,46.1 percent of Arkansas employees,arkansas,verified
MCS-050,"Arkansas construction small businesses totaled 38,786.",38786,firms,AR,2022,SBA Office of Advocacy,https://advocacy.sba.gov/wp-content/uploads/2025/06/Arkansas_2025-State-Profile.pdf,"Construction ... All small businesses 38,786",arkansas,verified
MCS-051,"Arkansas health care and social assistance small businesses totaled 26,381.",26381,firms,AR,2022,SBA Office of Advocacy,https://advocacy.sba.gov/wp-content/uploads/2025/06/Arkansas_2025-State-Profile.pdf,"Health Care and Social Assistance ... 26,381",arkansas,verified
MCS-052,"Arkansas small businesses contributed a net increase of 14,245 jobs, or 87.0% of net job growth, March 2023–March 2024.",87.0,percent,AR,Mar 2023–Mar 2024,SBA Office of Advocacy / BLS BED,https://advocacy.sba.gov/wp-content/uploads/2025/06/Arkansas_2025-State-Profile.pdf,"Small businesses contributed a net increase of 14,245 jobs, or 87.0 percent of that total.",arkansas,verified
MCS-053,"Arkansas accommodation and food services small businesses totaled 10,846.",10846,firms,AR,2022,SBA Office of Advocacy,https://advocacy.sba.gov/wp-content/uploads/2025/06/Arkansas_2025-State-Profile.pdf,"Accommodation and Food Services ... 10,846",arkansas,verified
MCS-054,"Arkansas other services (except public administration) small businesses totaled 38,489.",38489,firms,AR,2022,SBA Office of Advocacy,https://advocacy.sba.gov/wp-content/uploads/2025/06/Arkansas_2025-State-Profile.pdf,"Other Services (except Public Administration) ... 38,489",arkansas,verified
MCS-055,Arkansas small-business payroll totaled about $21.9 billion (38.7% of state payroll).,21908717,USD thousands payroll,AR,2022,SBA Office of Advocacy,https://advocacy.sba.gov/wp-content/uploads/2025/06/Arkansas_2025-State-Profile.pdf,"All industries | 51,109 | 96.2 | 501,512 | 46.1 | 21,908,717 | 38.7",arkansas,verified
MCS-056,CallRail analyzed 1.1 million leads across seven key industries.,1.1,million leads,US,report published ~2024–2025,CallRail,https://cdn.mediavalet.com/usva/callrail/JkB8rSqaVkm46t9C_UsV-w/1NgQXXeP6k2jMrToyiMhSA/Original/Ebook_From%20Conversations%20to%20Conversions_CallRail.pdf,We analyzed 1.1 million leads across seven key industries,channels_marketing,verified
MCS-057,"CallRail connects 220,000+ businesses with hundreds of millions of leads each year.",220000,businesses,US,report,CallRail,https://cdn.mediavalet.com/usva/callrail/JkB8rSqaVkm46t9C_UsV-w/1NgQXXeP6k2jMrToyiMhSA/Original/Ebook_From%20Conversations%20to%20Conversions_CallRail.pdf,"CallRail connects 220,000+ businesses with hundreds of millions of leads each year.",channels_marketing,verified
MCS-058,Google Ads drove 37% of conversations across industries studied.,37,percent,US,CallRail ebook,CallRail,https://cdn.mediavalet.com/usva/callrail/JkB8rSqaVkm46t9C_UsV-w/1NgQXXeP6k2jMrToyiMhSA/Original/Ebook_From%20Conversations%20to%20Conversions_CallRail.pdf,37% Google Ads ... 23% Google My Business ... 22% Organic Search,channels_marketing,verified
MCS-059,Google My Business drove 23% of conversations across industries.,23,percent,US,CallRail ebook,CallRail,https://cdn.mediavalet.com/usva/callrail/JkB8rSqaVkm46t9C_UsV-w/1NgQXXeP6k2jMrToyiMhSA/Original/Ebook_From%20Conversations%20to%20Conversions_CallRail.pdf,23% Google My Business,channels_marketing,verified
MCS-060,Organic search drove 22% of conversations across industries.,22,percent,US,CallRail ebook,CallRail,https://cdn.mediavalet.com/usva/callrail/JkB8rSqaVkm46t9C_UsV-w/1NgQXXeP6k2jMrToyiMhSA/Original/Ebook_From%20Conversations%20to%20Conversions_CallRail.pdf,22% Organic Search,channels_marketing,verified
MCS-061,Healthcare had the highest missed-call rate at 32%.,32,percent,US,CallRail ebook,CallRail,https://cdn.mediavalet.com/usva/callrail/JkB8rSqaVkm46t9C_UsV-w/1NgQXXeP6k2jMrToyiMhSA/Original/Ebook_From%20Conversations%20to%20Conversions_CallRail.pdf,Healthcare has the highest missed call rate at 32%,missed_calls,verified
MCS-062,Legal industry missed-call rate was 28%.,28,percent,US,CallRail ebook,CallRail,https://cdn.mediavalet.com/usva/callrail/JkB8rSqaVkm46t9C_UsV-w/1NgQXXeP6k2jMrToyiMhSA/Original/Ebook_From%20Conversations%20to%20Conversions_CallRail.pdf,followed by Legal at 28%,missed_calls,verified
MCS-063,Home services missed-call rate was 14%.,14,percent,US,CallRail ebook,CallRail,https://cdn.mediavalet.com/usva/callrail/JkB8rSqaVkm46t9C_UsV-w/1NgQXXeP6k2jMrToyiMhSA/Original/Ebook_From%20Conversations%20to%20Conversions_CallRail.pdf,Home Services at 14%,missed_calls,verified
MCS-064,Real estate missed-call rate was 9%.,9,percent,US,CallRail ebook,CallRail,https://cdn.mediavalet.com/usva/callrail/JkB8rSqaVkm46t9C_UsV-w/1NgQXXeP6k2jMrToyiMhSA/Original/Ebook_From%20Conversations%20to%20Conversions_CallRail.pdf,Real Estate at 9%,missed_calls,verified
MCS-065,Up to 85% of customers whose calls go unanswered will not call back.,85,percent,US,CallRail ebook,CallRail,https://cdn.mediavalet.com/usva/callrail/JkB8rSqaVkm46t9C_UsV-w/1NgQXXeP6k2jMrToyiMhSA/Original/Ebook_From%20Conversations%20to%20Conversions_CallRail.pdf,Studies show that up to 85% of customers whose calls go unanswered will not call back,missed_calls,verified
MCS-066,Home services Google Ads drove 42% of conversations.,42,percent,US,CallRail ebook,CallRail,https://cdn.mediavalet.com/usva/callrail/JkB8rSqaVkm46t9C_UsV-w/1NgQXXeP6k2jMrToyiMhSA/Original/Ebook_From%20Conversations%20to%20Conversions_CallRail.pdf,Home Services With Google Ads (42%) leading by a significant margin,home_services,verified
MCS-067,"Calls classified as qualified leads are, on average, 30% longer than non-qualified calls.",30,percent longer,US,CallRail ebook,CallRail,https://cdn.mediavalet.com/usva/callrail/JkB8rSqaVkm46t9C_UsV-w/1NgQXXeP6k2jMrToyiMhSA/Original/Ebook_From%20Conversations%20to%20Conversions_CallRail.pdf,"calls classified as qualified leads are, on average, 30% longer than non-qualified calls",channels_marketing,verified
MCS-068,Nearly 40% of customers across industries are returning customers (self-reported attribution).,40,percent,US,CallRail ebook,CallRail,https://cdn.mediavalet.com/usva/callrail/JkB8rSqaVkm46t9C_UsV-w/1NgQXXeP6k2jMrToyiMhSA/Original/Ebook_From%20Conversations%20to%20Conversions_CallRail.pdf,"across all industries, nearly 40% of customers are returning customers",channels_marketing,verified
MCS-069,About 15% of customers self-report finding a business through word-of-mouth.,15,percent,US,CallRail ebook,CallRail,https://cdn.mediavalet.com/usva/callrail/JkB8rSqaVkm46t9C_UsV-w/1NgQXXeP6k2jMrToyiMhSA/Original/Ebook_From%20Conversations%20to%20Conversions_CallRail.pdf,About 15% of customers self-report finding a business through word-of-mouth.,channels_marketing,verified
MCS-070,"In home services, 55% of calls that identified their source indicated they were a repeat customer.",55,percent,US,CallRail ebook,CallRail,https://cdn.mediavalet.com/usva/callrail/JkB8rSqaVkm46t9C_UsV-w/1NgQXXeP6k2jMrToyiMhSA/Original/Ebook_From%20Conversations%20to%20Conversions_CallRail.pdf,"in home services, 55% of calls that identified their source in the conversations indicated they were a repeat customer",home_services,verified
MCS-071,Google Ads produced 47% of qualified leads in CallRail’s industry analysis.,47,percent,US,Jan 2025 report,CallRail (BusinessWire / MarTech Cube reprint),https://www.martechcube.com/callrail-report-benchmarks-small-business-marketing-efforts/,"Key channels producing the highest number of qualified leads include Google Ads (47%), organic search (23%), and Google My Business (15%).",channels_marketing,verified
MCS-072,Organic search produced 23% of qualified leads.,23,percent,US,Jan 2025 report,CallRail (BusinessWire / MarTech Cube reprint),https://www.martechcube.com/callrail-report-benchmarks-small-business-marketing-efforts/,organic search (23%),channels_marketing,verified
MCS-073,Google My Business produced 15% of qualified leads.,15,percent,US,Jan 2025 report,CallRail (BusinessWire / MarTech Cube reprint),https://www.martechcube.com/callrail-report-benchmarks-small-business-marketing-efforts/,Google My Business (15%),channels_marketing,verified
MCS-074,Google Ads drove 36% of sales appointments.,36,percent,US,Jan 2025 report,CallRail (BusinessWire / MarTech Cube reprint),https://www.martechcube.com/callrail-report-benchmarks-small-business-marketing-efforts/,"primary channels include Google Ads (36%), Google My Business (32%) and organic search (18%).",channels_marketing,verified
MCS-075,Google My Business drove 32% of sales appointments.,32,percent,US,Jan 2025 report,CallRail (BusinessWire / MarTech Cube reprint),https://www.martechcube.com/callrail-report-benchmarks-small-business-marketing-efforts/,Google My Business (32%),channels_marketing,verified
MCS-076,"By 2029, agentic AI will autonomously resolve 80% of common customer service issues without human intervention.",80,percent,US / global research,"prediction by 2029 (Mar 5, 2025)",Gartner,https://www.gartner.com/en/newsroom/press-releases/2025-03-05-gartner-predicts-agentic-ai-will-autonomously-resolve-80-percent-of-common-customer-service-issues-without-human-intervention-by-20290,"By 2029, agentic AI will autonomously resolve 80% of common customer service issues without human intervention, leading to a 30% reduction in operational costs",ai_adoption,verified
MCS-077,Agentic AI autonomous resolution is expected to lead to a 30% reduction in operational costs.,30,percent,US / global research,"by 2029 (Mar 5, 2025)",Gartner,https://www.gartner.com/en/newsroom/press-releases/2025-03-05-gartner-predicts-agentic-ai-will-autonomously-resolve-80-percent-of-common-customer-service-issues-without-human-intervention-by-20290,"leading to a 30% reduction in operational costs, according to Gartner, Inc.",ai_adoption,verified
MCS-078,Only 14% of customer service and support issues are fully resolved in self-service.,14,percent,US / global survey,"Dec 2023 survey / Aug 19, 2024 release",Gartner,https://www.gartner.com/en/newsroom/press-releases/2024-08-19-gartner-survey-finds-only-14-percent-of-customer-service-issues-are-fully-resolved-in-self-service,Only 14% of customer service and support issues are fully resolved in self-service,after_hours,verified
MCS-079,"Even for “very simple” issues, only 36% resolve fully in self-service.",36,percent,US / global survey,Dec 2023 survey,Gartner,https://www.gartner.com/en/newsroom/press-releases/2024-08-19-gartner-survey-finds-only-14-percent-of-customer-service-issues-are-fully-resolved-in-self-service,"Even for issues that customers describe as “very simple”, only 36% resolve fully in self-service.",after_hours,verified
MCS-080,73% of customers use self-service at some point in their customer service journey.,73,percent,US / global survey,Dec 2023 survey,Gartner,https://www.gartner.com/en/newsroom/press-releases/2024-08-19-gartner-survey-finds-only-14-percent-of-customer-service-issues-are-fully-resolved-in-self-service,While 73% of customers use self-service at some point in their customer service journey,after_hours,verified
MCS-081,45% of customers who started in self-service said the company didn’t understand what they were trying to do.,45,percent,US / global survey,Dec 2023 survey,Gartner,https://www.gartner.com/en/newsroom/press-releases/2024-08-19-gartner-survey-finds-only-14-percent-of-customer-service-issues-are-fully-resolved-in-self-service,Forty-five percent of customers who started in self-service said the company didn’t understand what they were trying to do.,after_hours,verified
MCS-082,"In 43% of self-service failure cases, customers couldn’t find content relevant to their issue.",43,percent,US / global survey,Dec 2023 survey,Gartner,https://www.gartner.com/en/newsroom/press-releases/2024-08-19-gartner-survey-finds-only-14-percent-of-customer-service-issues-are-fully-resolved-in-self-service,"in 43% of cases, customers couldn’t find content relevant to their issue.",after_hours,verified
MCS-083,"Gartner surveyed 5,728 customers for the self-service resolution study.",5728,respondents,US / global survey,December 2023,Gartner,https://www.gartner.com/en/newsroom/press-releases/2024-08-19-gartner-survey-finds-only-14-percent-of-customer-service-issues-are-fully-resolved-in-self-service,"a Gartner survey of 5,728 customers conducted in December 2023",after_hours,verified
MCS-084,"Six months prior to the spotlight, 6.3% of small businesses (<250 employees) were using AI versus 11.1% of large businesses.",6.3,percent,US,~early 2025 window,SBA Office of Advocacy,https://advocacy.sba.gov/wp-content/uploads/2025/09/Research-Spotlight-AI-in-Business-Small-Firms-Closing-In_-092425.pdf,"Six months ago, 6.3 percent of small businesses (less than 250 employees) were using AI compared with 11.1 percent of large businesses",ai_adoption,verified
MCS-085,Small-business AI use rose to 8.8% in the latest spotlight window.,8.8,percent,US,mid-2025,SBA Office of Advocacy,https://advocacy.sba.gov/wp-content/uploads/2025/09/Research-Spotlight-AI-in-Business-Small-Firms-Closing-In_-092425.pdf,"Now, the small business percentage is up to 8.8.",ai_adoption,verified
MCS-086,Nearly 82% of businesses under five employees said AI is not applicable as a reason for not planning AI use.,82,percent,US,Dec 2023–Feb 2024 BTOS AI supplement,SBA Office of Advocacy / Census BTOS,https://advocacy.sba.gov/wp-content/uploads/2025/09/Research-Spotlight-AI-in-Business-Small-Firms-Closing-In_-092425.pdf,nearly 82 percent of businesses under five employees reported relevance as a reason they were not planning to use AI,ai_adoption,verified
MCS-087,"Among AI-using small firms, average AI use cases was 2.0 versus 2.1 for large firms.",2.0,use cases,US,Dec 2023–Feb 2024,SBA Office of Advocacy / Census BTOS,https://advocacy.sba.gov/wp-content/uploads/2025/09/Research-Spotlight-AI-in-Business-Small-Firms-Closing-In_-092425.pdf,"Among small businesses using AI, the average number of use cases was 2.0, compared to 2.1 for large firms.",ai_adoption,verified
MCS-088,About 50% of small firms using AI reported making no investments into AI usage.,50,percent,US,Dec 2023–Feb 2024,SBA Office of Advocacy / Census BTOS,https://advocacy.sba.gov/wp-content/uploads/2025/09/Research-Spotlight-AI-in-Business-Small-Firms-Closing-In_-092425.pdf,About 50 percent of small firms using AI in some way reported no investments into its usage,ai_adoption,verified
MCS-089,"During Nov 2025–Jan 2026, 18% of firms used AI in a business function.",18,percent,US,Nov 2025–Jan 2026,U.S. Census Bureau (CES Working Paper 26-25 / BTOS),https://www2.census.gov/library/working-papers/2026/adrm/ces/CES-WP-26-25.pdf,"18% of firms used AI in a business function, rising to 32% on an employment-weighted basis",ai_adoption,verified
MCS-090,Employment-weighted firm AI use was 32% in the same BTOS AI supplement window.,32,percent,US,Nov 2025–Jan 2026,U.S. Census Bureau (CES Working Paper 26-25 / BTOS),https://www2.census.gov/library/working-papers/2026/adrm/ces/CES-WP-26-25.pdf,rising to 32% on an employment-weighted basis,ai_adoption,verified
